State,District Name,Market Name,Commodity,Date,TempMax,TempMin,Humidity,Precipitation,Windspeed,SolarRadiation,Crop stage growth,Soil Moisture,Soil type,Soil ph,N,P,K,Water Requirement,Crop Yield
Kerala,Kannur,Kannur,Banana - Green,01-01-2021,31,24.9,75.1,0,12.6,223.7,Vegetative stage,150.775,loamy to humid,6.149934034,91,94,46,8.75,11.44803854
Kerala,Kannur,Kannur,Banana - Green,02-01-2021,32,23.9,75.1,0,11.2,240.6,Vegetative stage,150,loamy to humid,5.849076099,105,95,50,10.25,9.795652174
Kerala,Kannur,Kannur,Banana - Green,03-01-2021,32,25,79.1,0,10.1,213.5,Vegetative stage,149.425,loamy to humid,6.276800323,108,92,53,9.65,8.076658477
Kerala,Kannur,Kannur,Banana - Green,04-01-2021,31.1,25,82.7,3.5,9.4,180.1,Vegetative stage,148.975,loamy to humid,5.926824754,86,76,54,0.75,7.151612903
Kerala,Kannur,Kannur,Banana - Green,05-01-2021,32,25,81.5,6.2,14.8,203.2,Vegetative stage,149.575,loamy to humid,5.519088423,80,77,49,9.85,8.294478528
Kerala,Kannur,Kannur,Banana - Green,06-01-2021,31,24.9,84.6,12.7,10.1,153.1,Vegetative stage,153.05,loamy to humid,6.079178788,93,94,53,11.35,8.725974026
Kerala,Kannur,Kannur,Banana - Green,07-01-2021,31,23.9,85.3,24.3,11.2,174,Vegetative stage,156.225,loamy to humid,6.13465588,90,92,55,10.75,8.860409146
Kerala,Kannur,Kannur,Banana - Green,08-01-2021,32,25,86.4,7.4,7.6,149.1,Vegetative stage,156.575,loamy to humid,5.808497604,108,89,53,0.85,10.77995301
Kerala,Kannur,Kannur,Banana - Green,09-01-2021,31,23.9,88,4.9,9.4,172.9,Vegetative stage,157.775,loamy to humid,5.891458107,108,88,55,10.75,9.209677419
Kerala,Kannur,Kannur,Banana - Green,10-01-2021,30,25,84.3,3.8,7.6,162.3,Vegetative stage,158.125,loamy to humid,5.816622479,105,77,52,12.25,6.580926181
Kerala,Kannur,Kannur,Banana - Green,11-01-2021,30.4,24.9,85,0.6,8.3,148.9,Vegetative stage,158.725,loamy to humid,5.843163161,118,88,52,11.65,7.774358974
Kerala,Kannur,Kannur,Banana - Green,12-01-2021,28,24.6,82,0.2,7.9,99.9,Vegetative stage,161.725,loamy to humid,6.376756633,101,87,54,2.75,7.264224474
Kerala,Kannur,Kannur,Banana - Green,13-01-2021,28,24.2,75.8,3.1,10.8,161.9,Vegetative stage,164.475,loamy to humid,5.623615687,95,75,50,11.75,8.131082842
Kerala,Kannur,Kannur,Banana - Green,14-01-2021,31,24.9,81,1.6,14.8,163.1,Vegetative stage,165.6,loamy to humid,5.91505509,106,85,53,13.25,8.694939585
Kerala,Kannur,Kannur,Banana - Green,15-01-2021,31,25.9,82.7,1.9,11.2,156.8,Vegetative stage,164.725,loamy to humid,6.458714879,86,95,49,12.65,8.598274209
Kerala,Kannur,Kannur,Banana - Green,16-01-2021,31.2,25.1,83.6,7.5,14.8,177.6,Vegetative stage,164.95,loamy to humid,5.565028635,83,79,55,3.75,8.893756294
Kerala,Kannur,Kannur,Banana - Green,17-01-2021,31.4,25,83,0.9,11.2,217.2,Vegetative stage,165.925,loamy to humid,6.211833161,85,95,47,7.98,8.526109661
Kerala,Kannur,Kannur,Banana - Green,18-01-2021,31.8,22.9,79.4,0.1,11.2,248.2,Vegetative stage,165,loamy to humid,6.490074429,109,79,45,9.4,11.44803854
Kerala,Kannur,Kannur,Banana - Green,19-01-2021,31,23.7,77,0.5,12.6,247.4,Vegetative stage,163.875,loamy to humid,5.590236025,100,76,45,8.8,9.795652174
Kerala,Kannur,Kannur,Banana - Green,20-01-2021,31,24.5,80.8,0,11.5,245.2,Vegetative stage,162.875,loamy to humid,6.225225239,117,86,48,0.25,8.076658477
Kerala,Kannur,Kannur,Banana - Green,21-01-2021,32,25.9,81.9,0,11.2,222.8,Vegetative stage,161.975,loamy to humid,6.190757459,114,94,53,8.98,7.151612903
Kerala,Kannur,Kannur,Banana - Green,22-01-2021,32,25.9,82.7,0,11.2,232.6,Vegetative stage,161.85,loamy to humid,5.915568968,110,78,50,10.4,8.294478528
Kerala,Kannur,Kannur,Banana - Green,23-01-2021,31.8,25.6,83.1,0.8,11.2,221.3,Vegetative stage,161.475,loamy to humid,6.195152442,94,70,48,9.7,8.725974026
Kerala,Kannur,Kannur,Banana - Green,24-01-2021,31.2,25,83.7,0.4,11.2,204.5,Vegetative stage,160.85,loamy to humid,6.156373499,80,71,47,0.98,8.860409146
Kerala,Kannur,Kannur,Banana - Green,25-01-2021,32,23.6,79.2,0,12.2,257.2,Vegetative stage,160.5,loamy to humid,6.313197204,114,79,51,9.98,10.77995301
Kerala,Kannur,Kannur,Banana - Green,26-01-2021,31.2,22.7,76.6,0,12.2,266.6,Vegetative stage,160.225,loamy to humid,6.324270089,88,78,45,11.4,9.209677419
Kerala,Kannur,Kannur,Banana - Green,27-01-2021,31.3,22.4,78.5,0,14.8,259.7,Vegetative stage,159.2,loamy to humid,5.707488987,112,73,48,10.8,6.580926181
Kerala,Kannur,Kannur,Banana - Green,28-01-2021,31.1,22.4,75.7,0,13.7,261.5,Vegetative stage,158,loamy to humid,6.119216009,117,76,47,1.98,7.774358974
Kerala,Kannur,Kannur,Banana - Green,29-01-2021,31.2,23.7,75.9,0.6,13.3,246,Vegetative stage,157.075,loamy to humid,5.571401169,111,87,48,10.9,7.264224474
Kerala,Kannur,Kannur,Banana - Green,30-01-2021,32,24.4,78.3,0,13,243.8,Vegetative stage,156.425,loamy to humid,5.63127166,89,83,47,12.4,8.131082842
Kerala,Kannur,Kannur,Banana - Green,31-01-2021,32,25.6,80,0,14,239.2,Vegetative stage,156.1,loamy to humid,6.101241579,93,91,47,11.8,8.694939585
Kerala,Kannur,Kannur,Banana - Green,01-02-2021,32.8,26.4,76.1,0.2,14.8,260.2,Vegetative stage,155.225,loamy to humid,6.438137279,92,81,52,2.7,8.598274209
Kerala,Kannur,Kannur,Banana - Green,02-02-2021,32.4,25.7,71.5,0,40.7,264.3,Vegetative stage,154.275,loamy to humid,6.098369122,105,74,45,6.95,8.893756294
Kerala,Kannur,Kannur,Banana - Green,03-02-2021,33.4,26,73.4,0,31.7,249.8,Vegetative stage,153.125,loamy to humid,5.695267822,102,71,48,8.45,8.526109661
Kerala,Kannur,Kannur,Banana - Green,04-02-2021,33,24.9,76,0,14.8,254.1,Vegetative stage,152,loamy to humid,5.618094446,94,91,51,7.8,11.44803854
Kerala,Kannur,Kannur,Banana - Green,05-02-2021,32.6,24.7,80.5,0.1,10.1,231.2,Vegetative stage,150.825,loamy to humid,6.435785799,116,71,47,0.1,9.795652174
Kerala,Kannur,Kannur,Banana - Green,06-02-2021,32.2,24.9,79.8,1,14.4,240.8,Vegetative stage,149.725,loamy to humid,6.176644228,117,79,49,7.95,8.076658477
Kerala,Kannur,Kannur,Banana - Green,07-02-2021,32.5,24.2,69.8,0,13.7,273.3,Vegetative stage,148.675,loamy to humid,6.220643671,119,72,55,9.45,7.151612903
Kerala,Kannur,Kannur,Banana - Green,08-02-2021,32.8,24.6,65.3,0,15,277.5,Vegetative stage,147.75,loamy to humid,5.871702211,99,73,53,8.8,8.294478528
Kerala,Kannur,Kannur,Banana - Green,09-02-2021,32,25,69.2,0,13.3,279.7,Vegetative stage,1471.1,loamy to humid,6.390741836,91,84,52,0.5,8.725974026
Kerala,Kannur,Kannur,Banana - Green,10-02-2021,32,23.9,72.1,0,14.4,281.4,Vegetative stage,146.125,loamy to humid,6.21084479,80,90,47,8.95,8.860409146
Kerala,Kannur,Kannur,Banana - Green,11-02-2021,31,22.3,78.6,0,13.3,277.7,Vegetative stage,144.9,loamy to humid,6.012696655,101,70,48,10.45,10.77995301
Kerala,Kannur,Kannur,Banana - Green,12-02-2021,32,23,79.7,0,14,276.2,Vegetative stage,143.95,loamy to humid,5.908770059,108,89,53,9.9,9.209677419
Kerala,Kannur,Kannur,Banana - Green,13-02-2021,32,23.3,78.8,0.1,35.3,257.2,Vegetative stage,143.15,loamy to humid,6.049801781,100,80,52,0.95,6.580926181
Kerala,Kannur,Kannur,Banana - Green,14-02-2021,32.2,23.4,79.3,0,13,254.7,Vegetative stage,142.625,loamy to humid,6.010095853,109,91,53,9.9,7.774358974
Kerala,Kannur,Kannur,Banana - Green,15-02-2021,32.5,23.9,79.5,0.3,11.9,254.9,Vegetative stage,141.975,loamy to humid,5.738678895,82,78,46,11.4,7.264224474
Kerala,Kannur,Kannur,Banana - Green,16-02-2021,32.1,25.3,80.4,0.1,14.8,232.2,Vegetative stage,141.85,loamy to humid,5.74055541,106,70,55,10.9,8.131082842
Kerala,Kannur,Kannur,Banana - Green,17-02-2021,32,25.7,77,0,13.7,241.6,Vegetative stage,141.65,loamy to humid,5.793260262,90,86,52,1.9,8.694939585
Kerala,Kannur,Kannur,Banana - Green,18-02-2021,32.2,26.2,78.3,0.8,9.4,231.9,Vegetative stage,141.525,loamy to humid,5.50947065,83,95,50,5.65,8.598274209
Kerala,Kannur,Kannur,Banana - Green,19-02-2021,32,25.7,76.8,2.1,10.4,237,Vegetative stage,141.3,loamy to humid,5.986442306,119,90,48,7.15,8.893756294
Kerala,Kannur,Kannur,Banana - Green,20-02-2021,32,26.3,72.5,0,11.9,255,Vegetative stage,140.65,loamy to humid,5.790768046,107,72,45,6.6,8.526109661
Kerala,Kannur,Kannur,Banana - Green,21-02-2021,32,25.6,74.4,0.3,10.8,217.9,Vegetative stage,140.175,loamy to humid,5.915546415,116,81,55,0.1,11.44803854
Kerala,Kannur,Kannur,Banana - Green,22-02-2021,32,25.9,75.8,1.3,14.8,248.8,Vegetative stage,139.65,loamy to humid,6.242528278,101,75,50,6.6,9.795652174
Kerala,Kannur,Kannur,Banana - Green,23-02-2021,33.5,26.2,75.3,0.3,13.7,244.9,Vegetative stage,139.575,loamy to humid,6.036079266,93,81,50,8.1,8.076658477
Kerala,Kannur,Kannur,Banana - Green,24-02-2021,32.6,25.9,78.5,0.3,11.9,237.1,Vegetative stage,139.025,loamy to humid,5.829898502,95,75,45,7.6,7.151612903
Kerala,Kannur,Kannur,Banana - Green,25-02-2021,33,25.9,81.1,0,11.9,235.7,Vegetative stage,138.825,loamy to humid,6.088064451,107,71,55,0.3,8.294478528
