District Name,Market Name,Commodity,Price Date,tempmax,tempmin,humidity,precip,windspeed,solarradiation,description,soil moisture,soil type,soil ph,N,P,K,WATER REQUIREMENT,Stage Growth,Yield,Day,Month,Year
Kannur,Kannur,Banana - Green,2021-01-01,33.4,24.2,75.1,0.0,12.6,223.7,Partly cloudy throughout the day.,77.85,loamy to humid,6.149934034,91,94,46,8.75,Vegetative stage,11.44803854,1,1,2021
Kannur,Kannur,Banana - Green,2021-01-02,33.1,22.4,75.1,0.0,11.2,240.6,Clearing in the afternoon.,81.725,loamy to humid,5.849076099,105,95,50,10.25,Vegetative stage,9.795652174,2,1,2021
Kannur,Kannur,Banana - Green,2021-01-03,32.9,23.5,79.1,0.0,10.1,213.5,Partly cloudy throughout the day.,75.675,loamy to humid,6.276800323,108,92,53,9.65,Vegetative stage,8.076658477,3,1,2021
Kannur,Kannur,Banana - Green,2021-01-04,33.2,24.5,82.7,3.5,9.4,180.1,Partly cloudy throughout the day with rain.,68.925,loamy to humid,5.926824754,86,76,54,0.75,Vegetative stage,7.151612903,4,1,2021
Kannur,Kannur,Banana - Green,2021-01-05,32.2,24.4,81.5,6.2,14.8,203.2,Partly cloudy throughout the day with early morning rain.,76.425,loamy to humid,5.519088423,80,77,49,9.85,Vegetative stage,8.294478528,5,1,2021
Kannur,Kannur,Banana - Green,2021-01-06,32.4,24.6,84.6,12.7,10.1,153.1,Partly cloudy throughout the day with a chance of rain throughout the day.,65.125,loamy to humid,6.079178788,93,94,53,11.35,Vegetative stage,8.725974026,6,1,2021
Kannur,Kannur,Banana - Green,2021-01-07,31.7,24.0,85.3,24.3,11.2,174.0,Cloudy skies throughout the day with a chance of rain throughout the day.,73.7,loamy to humid,6.13465588,90,92,55,10.75,Vegetative stage,8.860409146,7,1,2021
Kannur,Kannur,Banana - Green,2021-01-08,31.9,25.2,86.4,7.4,7.6,149.1,Partly cloudy throughout the day with a chance of rain throughout the day.,62.625,loamy to humid,5.808497604,108,89,53,0.85,Vegetative stage,10.77995301,8,1,2021
Kannur,Kannur,Banana - Green,2021-01-09,30.9,24.9,88.0,4.9,9.4,172.9,Partly cloudy throughout the day with rain.,68.8,loamy to humid,5.891458107,108,88,55,10.75,Vegetative stage,9.209677419,9,1,2021
Kannur,Kannur,Banana - Green,2021-01-10,31.4,24.4,84.3,3.8,7.6,162.3,Partly cloudy throughout the day with a chance of rain throughout the day.,64.5,loamy to humid,5.816622479,105,77,52,12.25,Vegetative stage,6.580926181,10,1,2021
